Goal;X;Y;C;shot_aerial_won;shot_open_goal;shot_deflected;Distance_(0.365, 10.291];Distance_(10.291, 14.058];Distance_(14.058, 18.305];Distance_(18.305, 23.672];Distance_(23.672, 74.472];Angle_(-0.001, 0.254];Angle_(0.254, 0.317];Angle_(0.317, 0.406];Angle_(0.406, 0.599];Angle_(0.599, 2.795];shot_type_Free Kick;shot_type_Open Play;shot_type_Penalty;shot_body_part_Head;shot_body_part_Left Foot;shot_body_part_Other;shot_body_part_Right Foot
0;10.416.666.666.666.600;61.25;11.25;0.0;0.0;0.0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1
0;18.25;59.875;9.875;0.0;0.0;0.0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0
0;2.316.666.666.666.660;37.625;12.375;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1
0;13.583.333.333.333.300;49.875;0.125;0.0;0.0;0.0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1
1;9.0;57.25;7.25;0.0;0.0;0.0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1
0;5.25;56.375;6.375;0.0;0.0;0.0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1
0;1.791.666.666.666.660;72.25;22.25;0.0;0.0;0.0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0
0;9.833.333.333.333.320;57.5;7.5;0.0;0.0;0.0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0
0;4.333.333.333.333.320;37.875;12.125;0.0;0.0;0.0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0
0;10.666.666.666.666.600;34.625;15.375;0.0;0.0;0.0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1
0;14.75;4.337.500.000.000.000;6.624.999.999.999.990;0.0;0.0;0.0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0
0;8.333.333.333.333.320;40.0;10.0;0.0;0.0;0.0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0
0;28.0;62.75;12.75;0.0;0.0;0.0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
0;11.666.666.666.666.700;63.25;13.25;0.0;0.0;0.0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1
0;23.25;4.837.500.000.000.000;1.624.999.999.999.990;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1
0;2.441.666.666.666.660;4.962.500.000.000.000;0.3749999999999929;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1
0;13.583.333.333.333.300;59.25;9.25;0.0;0.0;0.0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1
1;13.583.333.333.333.300;4.724.999.999.999.990;2.750.000.000.000.000;0.0;0.0;0.0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0
1;9.75;50.125;0.125;0.0;0.0;0.0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0
0;13.833.333.333.333.300;35.625;14.375;0.0;0.0;0.0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1
0;34.166.666.666.666.700;63.875;13.875;0.0;0.0;0.0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1
0;6.416.666.666.666.670;4.587.500.000.000.000;4.124.999.999.999.990;1.0;0.0;0.0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0
0;16.0;66.125;16.125;0.0;0.0;0.0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0
1;5.666.666.666.666.670;4.974.999.999.999.990;0.2500000000000071;1.0;0.0;0.0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0
0;9.25;4.650.000.000.000.000;3.499.999.999.999.990;1.0;0.0;0.0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0
0;2.083.333.333.333.330;43.75;6.25;0.0;0.0;0.0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1
0;15.083.333.333.333.300;65.125;15.125;0.0;0.0;0.0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1
1;8.166.666.666.666.670;44.875;5.125;0.0;0.0;0.0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0
0;11.0;31.125;18.875;0.0;0.0;0.0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0
1;16.25;5.037.499.999.999.990;0.3749999999999929;0.0;0.0;0.0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1
0;13.666.666.666.666.600;70.25;20.25;0.0;0.0;0.0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0
0;2.266.666.666.666.660;51.875;1.875;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1
1;7.666.666.666.666.670;38.5;11.5;0.0;0.0;0.0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0
0;5.416.666.666.666.670;49.5;0.5;1.0;0.0;0.0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0
0;13.333.333.333.333.200;41.125;8.875;0.0;0.0;0.0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0
0;10.083.333.333.333.300;4.912.499.999.999.990;0.8750000000000071;0.0;0.0;0.0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1
1;9.166.666.666.666.670;49.25;0.75;0.0;0.0;0.0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1
0;1.983.333.333.333.330;65.875;15.875;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0
0;8.416.666.666.666.670;58.125;8.125;0.0;0.0;0.0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0
0;16.666.666.666.666.700;62.5;12.5;0.0;0.0;0.0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1
0;10.666.666.666.666.600;25.125.000.000.000.000;24.874.999.999.999.900;0.0;0.0;1.0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1
1;2.108.333.333.333.330;51.125;1.125;0.0;0.0;0.0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0
1;4.25;38.75;11.25;0.0;0.0;0.0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0
0;7.333.333.333.333.320;58.625;8.625;0.0;0.0;0.0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1
